City,Hotel_Name,Number_of_Reviews,Neighborhood,Distance_from_Center,Description,Facilities,Address,Latitude,Longitude,Hotel_URL,City_ID,Clean_Rate
Aix en Provence,Renaissance Aix-en-Provence Hotel,1692,Aix-en-Provence,0.6 km from downtown,"Located within a 10-minute walk of the center of Aix-en-Provence, Renaissance Aix-en-Provence Hotel features free access to a spa with a heated indoor pool, steam room, fitness room, and 2 treatment cabins are also available. It offers a 24-hour front desk, free WiFi and newspapers.

The spacious guest rooms all feature garden or city views. They come with a private bathroom with a bath or shower.

Various breakfast options such as American, continental and a breakfast buffet are available for guests. The hotel also offers a bistro and a bar.

Guests can go golfing 1.9 mi away, bowling 0.6 mi away or horse riding 1.2 mi away. The Grand Theater is 656 feet away. Marseille-Marignane Airport is a 25-minute drive away.","2 swimming pools, Private Parking, Spa, Free Wifi, Family rooms, 2 restaurants, Fitness center, Tea/Coffee Maker in All Rooms, Bar, Good Breakfast",Aix-en-Provence,43.52624,5.438205,https://www.booking.com/hotel/fr/renaissance-aix-en-provence.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285061&from=searchresults,33,8.5
Aix en Provence,Aquabella Hôtel & Spa,1485,"Aix-en-Provence Historic Centre, Aix-en-Provence",0.6 km from downtown,"Surrounded by a beautiful garden, Aquabella offers Provencal-style rooms and guests have free access to the spa. It is located in central Aix-en-Provence, a short walk from the old town.

The guest rooms at the Aquabella are all air-conditioned and equipped with free Wi-Fi access and mini-bars. Bathrobes are also provided.

Guests can enjoy Mediterranean cuisine in the hotel restaurant, L’Orangerie. 

Guests can relax at the Aquabella’s Sensoriel Spa. Guests have access to the sauna, hammam, and hot bath. There is also a Kneipp shower and ice fountain.

Guests will find public parking just 164 feet away from the property, available at an extra cost.","Outdoor swimming pool, Parking, Spa, Restaurant, Fitness center, Non-smoking rooms, Facilities for disabled guests, Bar, Excellent Breakfast","Aix-en-Provence Historic Centre, Aix-en-Provence",43.531264,5.44507,https://www.booking.com/hotel/fr/hotel-aquabella.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285076&from=searchresults,33,8.6
Aix en Provence,Hôtel Boutique Cézanne centre Aix-en-Provence,1726,Aix-en-Provence,300 m from downtown,"This boutique design hotel is located in the center of Aix-en-Provence and offers 55 rooms. If features a terrace and a lounge.

The air-conditioned rooms at the Hotel Cézanne have free WiFi access.  All rooms include satellite TV with more than 50 channels and some have views over the town.

At Hôtel Cézanne there is a terrace with an outdoor bar, where guests can enjoy an aperitif. There is also a meeting room.

Breakfast can be taken until 10:30 and offers fresh juice bar, home-made savory dishers, pastries, pancakes, brioche, artisanal charcuterie boards, jam from Hautes-Alpes and a gluten-free selection. It can be enjoyed in the outdoor bar in fine weather.

The property is 656 feet from the Cours Mirabeau and 984 feet from a bus station, with connections to the airport and the TGV train station. Aix-en-Provence TGV train station is 7.5 mi from the hotel.

The rooms at the Boutique Hotel Cézanne have free WiFi access and air-conditioned during hot season. All rooms include satellite TV with more than 50 channels and some have views over the town.

Private secured parking is available on site for an additional fee.","Private Parking, Free Wifi, Family rooms, Non-smoking rooms, Facilities for disabled guests, Airport shuttle, Room service, Tea/Coffee Maker in All Rooms, Bar, Excellent Breakfast",Aix-en-Provence,43.523562,5.445937,https://www.booking.com/hotel/fr/cezanne-aix-en-provence.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285082&from=searchresults,33,8.7
Aix en Provence,Hôtel des Augustins,2246,"Aix-en-Provence Historic Centre, Aix-en-Provence",150 m from downtown,"Located just of the famous Cours Mirabeau in the heart of the old town of Aix-en-Provence, Hotel Les Augustins is set within the walls of a 12th-century convent.

Hotel Les Augustins features a subtle blend of historic and modern architecture and a magnificent lobby.

The hotel features spacious rooms combining traditional architecture and modern facilities. Each room provides air conditioning, a TV and a mini-bar.

A continental breakfast is served every morning in the dining room or in the comfort of guest rooms. There is also free Wi-Fi access in the entire hotel and a 24-hour reception,","Parking, Free Wifi, Family rooms, Non-smoking rooms, Room service, 24-hour front desk, Bar, Good Breakfast","Aix-en-Provence Historic Centre, Aix-en-Provence",43.526887,5.447271,https://www.booking.com/hotel/fr/les-augustins.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285088&from=searchresults,33,8.4
Aix en Provence,Grand Hôtel Roi René Aix - MGallery Collection,1099,Aix-en-Provence,500 m from downtown,"Located just a 5-minute walk from Cours Mirabeau and the center of Aix-en-Provence, Grand Hôtel Roi René Aix en Provence Center - MGallery is a 4-star hotel featuring a heated seasonal outdoor pool open from April to the end of september. It also features a terrace, a fitness center and free WiFi access.

Each air-conditioned guest room has been decorated in a contemporary style and includes a flat-screen TV with satellite channels, a mini-bar and a safe. The private bathroom comes with either a bath or shower, bathrobes, a hairdryer, slippers and free Occitane toiletries. All rooms have a Nespresso coffee machine.

Traditional French cuisine is served in the hotel's restaurant, La Table du Roi. Guests can enjoy a drink in L’intemporel bar.

Grand Hôtel Roi René - MGallery Collection is 1312 feet from the train station. Private parking is available upon request and for an additional fee.

The hotel is part of the “Green key” label, committed for a sustainable tourism of Restaurants and accommodations in France.","Outdoor swimming pool, Private Parking, Free Wifi, Restaurant, Fitness center, Non-smoking rooms, Facilities for disabled guests, Tea/Coffee Maker in All Rooms, Bar, Excellent Breakfast",Aix-en-Provence,43.523325,5.449726,https://www.booking.com/hotel/fr/grand-mercure-roi-rene.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285094&from_sustainable_property_sr=1&from=searchresults,33,8.4
Aix en Provence,Villa Saint-Ange,371,Aix-en-Provence,1.1 km from downtown,"Set 2625 ft from Cours Mirabeau in Aix-en-Provence, Villa Saint-Ange hotel features a heated outdoor swimming pool, a Provencal garden, and a French restaurant and bar with a terrace. This property is 1.4 mi from Saint-Sauveur Cathedral.

Rooms are spread across five 18th-century bastide-style cottages, decorated in the style of an Aix-en-Provence town house. All rooms include air conditioning, a flat-screen TV with international channels, a safety deposit box, and a mini-bar. The private bathroom has free toiletries and a hair dryer. Rooms on ground level feature a terrace or garden.

There is an on-site restaurant with a terrace, which serves a variety of French dishes and also offers vegetarian and vegan options. Room service is available 24/7.

Guests can make use of the hot tub and fitness room, or enjoy a massage at a supplement. Hiking is among the activities that guests can enjoy near the accommodations.

Speaking English and French at the 24-hour front desk, staff are always on hand to help.

Caumont Art Center is 2297 ft away. Marseille Provence Airport is 19 mi from the property, and the property offers a paid airport shuttle service. Covered parking is available on site at a supplement.","Outdoor swimming pool, Private Parking, Spa, Free Wifi, Restaurant, Fitness center, Non-smoking rooms, Facilities for disabled guests, Airport shuttle, Exceptional Breakfast",Aix-en-Provence,43.523068,5.457699,https://www.booking.com/hotel/fr/villa-saint-ange.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285100&from=searchresults,33,9.3
Aix en Provence,Hôtel Escaletto,1873,"Aix-en-Provence Historic Centre, Aix-en-Provence",450 m from downtown,"This 3-star hotel is located in the center of Aix-en-Provence, a 1-minute walk from Thermes Sextius thermal baths and 1804 feet from Cours Mirabeau. Free WiFi is available.

Rooms are contemporary and offer a terrace with a panoramic view over the city and the Mont Sainte-Victoire Mountain.

A buffet breakfast is served every morning, and free Wi-Fi access is available throughout the hotel.

With a 24-hour reception, the Hotel escaletto offers easy access to all the main tourist attractions of
Aix-en-Provence.","Private Parking, Free Wifi, Family rooms, Non-smoking rooms, Facilities for disabled guests, 24-hour front desk, Terrace, Bar, Very Good Breakfast","Aix-en-Provence Historic Centre, Aix-en-Provence",43.53005,5.444147,https://www.booking.com/hotel/fr/hotel-escaletto.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285106&from_sustainable_property_sr=1&from=searchresults,33,8.4
Aix en Provence,Hôtel Particulier Le 28 - Spa & Art Luxury Design by Alain Ducasse,637,"Aix-en-Provence Historic Centre, Aix-en-Provence",400 m from downtown,"Featuring a private garden with 2 terraces and an on-site restaurant, Hôtel Particulier Le 28 - Spa & Art Luxury Design by Alain Ducasse is located in Aix-en-Provence. Private parking is available on site. The swimming pool and spa are located in a spa 820 feet from the hotel. Our guests benefit from special rates and advantages. The spa is open from 10 am to 5.30 PM. Acces and treatment on reservation

The air-conditioned rooms include a flat-screen TV with cable channels. Certain rooms feature a seating area where you can relax. All rooms are equipped with a private bathroom equipped with a bath. Hôtel Particulier Le 28 - Spa & Art Luxury Design by Alain Ducasse features free WiFi.

Breakfast with local products is available. Guests can dine in the garden. There is also a babysitting service offered at the property.

Cours Mirabeau is 656 feet from Hôtel Particulier Le 28 - Spa & Art Luxury Design by Alain Ducasse, while Saint-Sauveur Cathedral is 2625 feet from the property. The nearest airport is Marseille Provence Airport, 13 mi from Hôtel Particulier Le 28 - Spa & Art Luxury Design by Alain Ducasse.","Indoor swimming pool, Private Parking, Spa, Free Wifi, Family rooms, Restaurant, Non-smoking rooms, Airport shuttle, Bar, Very Good Breakfast","Aix-en-Provence Historic Centre, Aix-en-Provence",43.524775,5.450224,https://www.booking.com/hotel/fr/particulier-28-a-aix-aix-en-provence1.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285111&from=searchresults,33,9.0
Aix en Provence,La Caravelle,1187,"Aix-en-Provence Historic Centre, Aix-en-Provence",0.7 km from downtown,"In the heart of Aix-en-Provence, the La Caravelle hotel welcomes you less than an 8-minute walk from the Cours Mirabeau, the Granet Museum and the Palais des Congrès.

All rooms have air conditioning, a desk and a private bathroom with a bath or shower.

A la carte breakfast is served every morning at La Caravelle. A continental breakfast is also available at a reduced rate includes a hot drink, a croissant, a glass of fruit juice, bread, butter and jam.

The hotel includes video surveillance and free computer access in public areas. Public parking is nearby, and a private parking is also available on site for an additional fee (reservation is needed before arrival, 3 spots available)

Establishment undergoing renovation but remains open to the public.
Model photos of the establishment from 2024.

This hotel has been entirely renewed.","Private Parking, Free Wifi, Family rooms, Non-smoking rooms, Facilities for disabled guests, Room service, 24-hour front desk, Tea/Coffee Maker in All Rooms, Good Breakfast","Aix-en-Provence Historic Centre, Aix-en-Provence",43.524859,5.453701,https://www.booking.com/hotel/fr/la-caravelle-aix-en-provence.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285117&from=searchresults,33,8.4
Aix en Provence,La Maison d'Aix 1785 - Hôtel Particulier & Spa,55,"Aix-en-Provence Historic Centre, Aix-en-Provence",450 m from downtown,"La Maison d’Aix is located in the Mazarin quarter of Aix-en-Provence, a 3-minute walk from the Cours Mirabeau. It offers a small indoor pool, relaxation area and hammam. Free WiFi is provided.

This luxury hotel offers free tea and Nespresso coffee.

Guests are invited to relax in Le Salon Rouge, which is equipped with a flat-screen TV. Breakfast is served daily and La Maison d’Aix also serves afternoon tea with home-made pastries.","Indoor swimming pool, Parking, Spa, Free Wifi, Family rooms, Non-smoking rooms, Airport shuttle, Bar, Breakfast","Aix-en-Provence Historic Centre, Aix-en-Provence",43.524682,5.45039,https://www.booking.com/hotel/fr/la-maison-d-aix.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9haXggZW4gcHJvdmVuY2VIM1gEaE2IAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AsGM_sQGwAIB0gIkNDI0Y2UzMGQtMGY3Mi00MjhiLWEwMjAtN2M4YTNlOTQwYjEw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D204&srpvid=52a986e0789f0695&srepoch=1755285123&from=searchresults,33,9.4
